AC	SHORTLABEL	TAXID
EBI-6918394	desfr	878
EBI-6918396	desvm	883
EBI-6918402	desba	899
EBI-6918404	north american oposs	9267
EBI-6918408	i96a0	93838
EBI-6918414	macra	9548
EBI-6918422	muspf	9669
EBI-6918426	beluga whale	9749
EBI-6918430	equpr	9798
EBI-6918434	llama	9844
EBI-6918630	drome-egg_chamber	7227
EBI-6923008	human-dr95	9606
EBI-6923010	human-ecc1	9606
EBI-6923012	human-ecv	9606
EBI-6923014	human-eskol	9606
EBI-6923016	human-eufa1341	9606
EBI-6923018	human-fa cells	9606
EBI-6923020	human-fadu	9606
EBI-6923022	human-fa-j	9606
EBI-6923024	human-h929	9606
EBI-6923026	human-hana 3a	9606
EBI-6923028	human-hbe	9606
EBI-6923030	human-hcc2429	9606
EBI-6923032	human-hce	9606
EBI-6923034	human-hcs-2/8	9606
EBI-6923036	human-hek-10	9606
EBI-6923038	human-293a	9606
EBI-6923040	human-hela 2.11	9606
EBI-6923044	human-hela p	9606
EBI-6923046	human-hep2	9606
EBI-6923048	human-hep 2 beta	9606
EBI-6923050	human-hey	9606
EBI-6923052	human-hfk	9606
EBI-6923054	human-hk2	9606
EBI-6923056	human-hl-7702	9606
EBI-6923058	human-hl-cz	9606
EBI-6923060	human-hmec-tr	9606
EBI-6923062	human-hnf	9606
EBI-6923064	human-hnscc	9606
EBI-6923066	human-hpaec	9606
EBI-6923068	human-hr1	9606
EBI-6923070	human-hs487bst	9606
EBI-6923072	human-hs487t	9606
EBI-6923076	human-htbe	9606
EBI-6923080	human-htc75	9606
EBI-6923082	human-htert_b	9606
EBI-6923084	human-htert_h	9606
EBI-6923086	human-htert_rpe1	9606
EBI-6923088	human-ihh	9606
EBI-6923090	human-il-1r	9606
EBI-6923092	human-jcam2.5	9606
EBI-6923094	human-jpm50.6wt	9606
EBI-6923096	human-jurkat 14	9606
EBI-6923098	human-jurkat e6.1	9606
EBI-6923100	human-kit 225	9606
EBI-6923102	human-kk-47-c2	9606
EBI-6923104	human-kt-1	9606
EBI-6923106	human-ku812	9606
EBI-6923108	human-l cells	9606
EBI-6923110	human-lcl	9606
EBI-6923112	human-lec	9606
EBI-6923114	human-ln	9606
EBI-6923116	human-m17	9606
EBI-6923118	human-m2	9606
EBI-6923120	human-mcf-6	9606
EBI-6923124	human-mdd2	9606
EBI-6923128	human-meg-01	9606
EBI-6923130	human-mg12	9606
EBI-6923132	human-mm1	9606
EBI-6923134	human-mm2	9606
EBI-6923136	human-mmru	9606
EBI-6923138	human-mn1	9606
EBI-6923140	human-mpstar	9606
EBI-6923144	human-mrc5v1	9606
EBI-6923146	human-narf-e6	9606
EBI-9255061	nech7	660122
EBI-9256057	human-molm-13	9606
EBI-9256107	human-bjab_e3c10	9606
EBI-9256262	human-aml	9606
EBI-9301877	danre-gill	7955
EBI-9301922	danre-skin	7955
EBI-9302188	human-hce-t-15	9606
EBI-9513687	human-jm1	9606
EBI-9517578	bdvv	928296
EBI-9521752	lactobacillus gasseri 224-1	679196
EBI-9551577	rat-sv40lt-smc	10116
EBI-9633264	bactn	226186
EBI-9652094	human-mgg8	9606
EBI-9681123	human-cama-1	9606
EBI-9681140	human-sum159pt	9606
EBI-9681157	human-sum52pe	9606
EBI-9681183	human-hcc2157	9606
EBI-9689509	hrsv	11250
EBI-9697887	human-sklu1	9606
EBI-9826138	streptococcus equi subsp. equi	148942
EBI-9836180	human-jcam1	9606
EBI-9836724	ecoli-m15	1007065
EBI-9844219	macfa-brain_striatum	9541
EBI-9871839	human-colo_678	9606
EBI-9969829	human-hgec	9606
EBI-9981504	human-kgn	9606
EBI-9990164	rat-blood_vessel	10116
EBI-9995155	human-hlmvec	9606
EBI-10039503	human-oecm-1	9606
EBI-10044368	mouse-brain_hypothalamus	10090
EBI-10044458	human-hut102	9606
EBI-10044646	human-bon1	9606
EBI-10050412	human-gastric	9606
EBI-10135942	poptr	3694
EBI-10634165	rat-amygdala	10116
EBI-10714627	rat-brain_pineal_gland	10116
EBI-10683363	mouse-b1-8	10090
EBI-10690644	human-nci_h2347	9606
EBI-10766636	Gallid herpesvirus 2	10390
EBI-10766645	GaHV-2	10388
EBI-10769088	human-SH-EP1	9606
EBI-10823896	CHPV	11273
EBI-10821969	human-ddr4	9606
EBI-10826322	human-184b5	9606
EBI-10829839	najox	8657
EBI-10889347	human-mammary gland	9606
EBI-10895510	chick-mononuclear-cell	9031
EBI-10917423	hpv05	333923
EBI-11165875	human-rt4	9606
EBI-11179409	isolate Human/India/Hyderabad	512346
EBI-11313888	rabit-skin	9986
EBI-11424877	human-cll_mec1	9606
EBI-11427218	human-mono_mac6	9606
EBI-11476472	lisin	272626
EBI-11514051	h5n1)	440390
EBI-11519943	influenza a virus (a/wsn/1933 ts61(h1n1))	370129
EBI-11520098	strain a/chicken/scotland/1959 h5n1	402527
EBI-11520308	h5n1)	363744
EBI-11520523	h5n1)	644788
EBI-11520688	strain a/equine/prague/1/1956 h7n7	380337
EBI-11520790	h9n2)	329599
EBI-11580241	manha	75985
EBI-11600361	jondd	471856
EBI-11601152	human-lhcn-m2	9606
EBI-11616141	TSWV	36413
EBI-11617072	Wood mouse herpesvirus	432370
EBI-11621503	Plasmodium vivax (strain Salvador I)	126793
EBI-11657811	human-sk-n-dz	9606
EBI-11658177	mouse-engelbreth_holm_swarm	10090
EBI-11658402	mouse-b82l	10090
EBI-11658721	human-mes83	9606
EBI-11659140	human-76ntert	9606
EBI-11659892	elimr	172045
EBI-11660006	rat-adenohypophysis	10116
EBI-11667077	human-c28_i2	9606
EBI-11687817	DENV-1	11059
EBI-11688727	pig-pk15	9823
EBI-11691722	human-tmd8	9606
EBI-11709269	human-771s	9606
EBI-11709452	Equine herpesvirus 2	12657
EBI-11712571	horse-ed	9796
EBI-11737173	hpv33	10586
EBI-11740664	horse-serum	9796
EBI-11769726	Winter flounder	8265
EBI-11790094	human-colorectal_cancer	9606
EBI-11791486	human-8387	9606
EBI-11793888	Human papillomavirus type ME180	10602
EBI-11793909	Human papillomavirus type 68	45240
EBI-12509696	human-bmsc	9606
EBI-12514846	canlf-thyroid_gland	9615
EBI-12515137	horse-tcc	9796
EBI-12551648	medtr	3880
EBI-12556691	pig-suvec	9823
EBI-12561526	A/New York/1682/2009(H1N1)	643960
EBI-12592373	mouse-fva	10090
EBI-12592611	human-snu-398	9606
EBI-12656981	Leptospira interrogans serogroup Icterohaemorrhagiae serovar copenhageni (strain Fiocruz L1-130)	267671
EBI-12684450	Haemophilus influenzae (strain 10810)	862964
EBI-12685271	sv40	1891767
EBI-12685288	klebsiella michiganensis	1134687
EBI-12685290	povha	1891729
EBI-12685303	povbk	1891762
EBI-12686115	human-mhcc97h	9606
EBI-12687018	mouse-hsc	10090
EBI-12687310	9inse	50557
EBI-12735232	Mycoplasma genitalium (strain ATCC 33530 / G-37 / NCTC 10195)	243273
EBI-12688080	mouse-sperm	10090
EBI-12736897	Puccinia triticina	208348
EBI-12739450	pig-intestinal mucosa	9823
EBI-12740261	Mycoplasma hyorhinis	2100
EBI-12741089	pig-endometrium	9823
EBI-13612614	Human papillomavirus type 9	10621
EBI-13630067	Mycoplasma suis (strain Illinois)	768700
EBI-13635586	human-h3122	9606
EBI-13635930	classical swine fever virus - alfort/187	358769
EBI-13636969	human-arterial _smooth _muscle	9606
EBI-13636971	mouse-arterial_smooth_muscle	10090
EBI-13639789	human-panc04-03	9606
EBI-13642008	mouse-p19cl6	10090
EBI-13643134	human-crt-mg	9606
EBI-9256012	human-eol-1	9606
EBI-9256039	human-lcl2	9606
EBI-9256118	human-kbm-3	9606
EBI-9256192	human-skm-1	9606
EBI-9302227	human-cornea	9606
EBI-9293649	human-gist_tissue	9606
EBI-9293663	human-gist882	9606
EBI-9302512	human-hct-8	9606
EBI-9347847	rat-sm-11 cells	10116
EBI-9348124	mouse-pericyte	10090
EBI-9348256	penjp	27405
EBI-9694191	drome-nurse_cell	7227
EBI-9512097	influenza a virus (a/hatay/2004/(h5n1))	303316
EBI-9514012	influenza a virus (a/hong kong/482/97(h5n1))	155218
EBI-9514043	influenza a virus (a/puerto rico/8/34/mount sinai(h1n1))	183764
EBI-9514556	mouse-hpl3-4	10090
EBI-9515225	mumip	648235
EBI-9515331	mouse-a92l	10090
EBI-9522971	rotavirus sp.	10970
EBI-9543920	phlebovirus wch/97/hn/china/2011	1173018
EBI-9544190	taxca	88032
EBI-9546606	rabbit-skeletal_muscle	9986
EBI-9547750	bachd	272558
EBI-9548118	human-kn73	9606
EBI-9549341	macpc	56183
EBI-9550353	human-nb1	9606
EBI-9551090	halmt	523841
EBI-9593125	human-colo 205	9606
EBI-9631999	human-epidermis	9606
EBI-9672640	pig-pancreas	9823
EBI-9673741	mouse-a9	10090
EBI-9690310	human papillomavirus type 96	247269
EBI-9694257	mouse-pfhr9	10090
EBI-9828007	mouse-scg neuron	10090
EBI-9833977	hyaae	559515
EBI-9833979	hyaloperonospora arabidopsidis	272952
EBI-9869933	human-patu	9606
EBI-9874589	human-tc28a2	9606
EBI-9943804	vison-r1b/l17	452646
EBI-9974567	mouse-embryonic_skin	10090
EBI-9981153	human-msc_htert_e6/e7	9606
EBI-9994964	human-ovk18	9606
EBI-9998556	human-usts	9606
EBI-10026679	human-vh10-tert	9606
EBI-10043914	human-m059j	9606
EBI-10044487	human-st1	9606
EBI-10044660	human-qgp1	9606
EBI-10045960	human-atl	9606
EBI-10047631	human-t-cell_th1	9606
EBI-10047640	human-t-cell_th17	9606
EBI-10056596	human-lovo	9606
EBI-10091754	human-ect1/e6e7	9606
EBI-10097462	human-t_reg	9606
EBI-10098042	prost	588
EBI-10683277	mouse-tko-pre-b-cells	10090
EBI-10689970	human-c4-i	9606
EBI-10728696	mouse-panc02	10090
EBI-10765292	human-c666	9606
EBI-10818945	human-helam	9606
EBI-10960557	human-tendon	9606
EBI-11358982	human-val	9606
EBI-11358987	human-oci_ly3	9606
EBI-11422578	strain mrm61c	11078
EBI-11422590	alkhumra hemorrhagic fever virus	172148
EBI-11422613	japanese encephalitis virus	11072
EBI-11422636	tick-borne encephalitis virus	11084
EBI-11422667	dengue virus 1	11053
EBI-11424066	mouse-m-15	10090
EBI-11430139	rat-brl-3a	10116
EBI-11463939	mouse-bi-141	10090
EBI-11477054	rat-pac1	10116
EBI-11477169	mouse-b16f10	10090
EBI-11565353	mouse-plasma	10090
EBI-11598757	pseudomonas veronii	76761
EBI-11616565	bovin-bl3	9913
EBI-11616635	bovin-neutrophil	9913
EBI-11616639	bovin-alveolar macrophages	9913
EBI-11664814	human-keratocyte	9606
EBI-11699646	bacmb	1348623
EBI-11701929	chlae-marc145	9534
EBI-11701934	PRRSV	11049
EBI-11709277	human-771r	9606
EBI-11709473	EHV-2	82831
EBI-11784069	mouse-rd16	10090
EBI-11786718	crigr-cho-dg44	10029
EBI-11892074	Korean hemorrhagic fever virus	11602
EBI-12552033	domestic pig	9825
EBI-12552417	human-oci-ly7	9606
EBI-12555680	human-jimt-1	9606
EBI-12559335	pig-max	9823
EBI-12590875	human-tracheal_epithelium	9606
EBI-12599562	Streptomyces koyangensis	188770
EBI-12685044	pig-erythrocyte	9823
EBI-12685050	Mycoplasma suis	57372
EBI-12736181	Mycoplasma fermentans	2115
EBI-12739381	human-UKRV-Mel-4	9606
EBI-12740385	Mycoplasma pulmonis (strain UAB CTIP)	272635
EBI-12741074	mouse-uterus	10090
EBI-13635666	bovin-trabecular meshwork	9913
EBI-13636838	Mycoplasma gallisepticum	2096
EBI-13643170	human-u178	9606
EBI-13643335	Zaire ebolavirus	186538
EBI-13645330	human-t/c-28	9606
EBI-13915534	chick-embryonic_trachea	9031
EBI-13915726	human-nk_cells	9606
EBI-13915992	human-SupT1	9606
EBI-13917476	rat-embryonic_brain	10116
EBI-13940017	rat-thyroid	10116
EBI-13941197	human-c32	9606
EBI-13945620	IcHV-1	766178
EBI-13948048	Mycoplasma hyopneumoniae (strain 232)	295358
EBI-13948363	isolate U455	11703
EBI-13948402	isolate SE6165	388824
EBI-13951616	Clostridium tetani (strain Massachusetts / E88)	212717
EBI-13951711	Influenza A virus (strain A/Qu/7/1970 H3N2)	221016
EBI-13951889	human-al10	9606
EBI-13951996	human-savc	9606
EBI-9256036	human-lcl1	9606
EBI-9256087	human-molm-14	9606
EBI-9257849	human-aspc-1	9606
EBI-9257892	human-sudhl-2	9606
EBI-9302709	human-retina	9606
EBI-11667265	human-nci-n87	9606
EBI-9342671	human-ips	9606
EBI-9348839	human-b95-8	9606
EBI-9349017	human-detroit-562	9606
EBI-9349021	arath-hypocotyl	3702
EBI-9349091	human-u343	9606
EBI-9396877	human-hca	9606
EBI-9513991	influenza a virus (a/viet nam/1203/2004(h5n1))	284218
EBI-9519005	mouse-liver_cancer	10090
EBI-9519025	mouse-skin_cancer	10090
EBI-9520309	den26	31634
EBI-9524710	crigr-cho_ups1	10029
EBI-9524824	acinetobacter sp. dl-28	160971
EBI-9539917	murine rotavirus	28327
EBI-9544232	anavt	240292
EBI-9546743	human-endoerm	9606
EBI-9548153	human-ons-76	9606
EBI-9551958	ryasp	312404
EBI-9552653	mouse-adipocytes	10090
EBI-9560184	rat-myometrium	10116
EBI-9632616	stasi	1286
EBI-9676085	htlv-2	11909
EBI-9663506	sacu7	226127
EBI-9675517	not-defined-1933892529	4932
EBI-9676491	not-defined-1219244297	4932
EBI-9677349	not-defined-1549611153	9606
EBI-9681614	human-92.1	9606
EBI-9681637	mouse-melan-a	10090
EBI-9682964	mouse-4t1	10090
EBI-9683510	human-h1437	9606
EBI-9687444	rabit-cardiac_myocyte	9986
EBI-9687553	pig-kidney	9823
EBI-9689332	human-hap1	9606
EBI-9690237	human papillomavirus type 93	247268
EBI-9690254	hpv20	31547
EBI-9690276	hpv37	37958
EBI-9690289	hpv38	37959
EBI-9690328	human papillomavirus type 92	211787
EBI-9690347	hpv04	10617
EBI-9693652	human-h157	9606
EBI-9825350	peptoclostridium difficile 002-p50-2011	997827
EBI-9833938	psesm_str_301020	629261
EBI-9844059	htl1c	11927
EBI-9845871	human-cvecs	9606
EBI-9869971	human-mia_capa	9606
EBI-9978983	mouse-mc1	10090
EBI-9871891	human-hpac	9606
EBI-9915146	human-lx2	9606
EBI-9979106	human-plc_prf_5	9606
EBI-9992876	danre-larvae	7955
EBI-9994053	ralso	267608
EBI-9994566	human-skut2	9606
EBI-10039989	human-ec1	9606
EBI-10042385	pig-kidney-mesangial_cell	9823
EBI-10043111	human-paepic	9606
EBI-10092129	human-ucb_t-cell_cd4+	9606
EBI-10092144	human-pb_t-cell_cd4+	9606
EBI-10092217	human-hkb11	9606
EBI-10095062	mouse-r1	10090
EBI-10097650	human-hcc	9606
EBI-10100123	human-calu_1	9606
EBI-10100302	human-nci_h661	9606
EBI-10105361	human-conjunctival_epithelium	9606
EBI-10105586	trist	39682
EBI-10214846	mouse-myocytes	10090
EBI-10636092	mouse-urothelium	10090
EBI-10637264	sivm3	1173522
EBI-10682727	rat-ur61	10116
EBI-10683279	mouse-tko-md-pre-b cells	10090
EBI-10686654	human-hdf	9606
EBI-10690660	mouse-aml12	10090
EBI-10706053	human-1.1b4	9606
EBI-10765508	mouse-mlo-y4	10090
EBI-10767332	mouse-mel745acl.ds19	10090
EBI-10820173	human-nt2d1	9606
EBI-10821446	human-mcf12a	9606
EBI-10821965	human-m249parent	9606
EBI-10821983	human-ddr5	9606
EBI-10826387	human-snu-251	9606
EBI-10888002	human-cal33	9606
EBI-10888913	chick-df-1	9031
EBI-10889552	chick-msb-1	9031
EBI-10894983	thermus thermophilus jl-18	798128
EBI-10895072	Shewanella putrefaciens (strain CN-32 / ATCC BAA-453)	319224
EBI-10895487	Escherichia fergusonii (strain ATCC 35469 / DSM 13698 / CDC 0568-73)	585054
EBI-10896111	najox-venom	8657
EBI-10898196	human-rasf	9606
EBI-10901234	CSFV	11097
EBI-11131508	pasmu	272843
EBI-11170293	chlae-bsc1	9534
EBI-11175827	chlsb	60711
EBI-11179715	human-urinary_bladder_carcinoma	9606
EBI-11297211	BoHV-4	10385
EBI-11316577	mouse-tk-1	10090
EBI-11327293	brsva	11247
EBI-11327391	human-mp-1	9606
EBI-11327393	human-t5-1	9606
EBI-11358800	human-bal	9606
EBI-11359505	human-sudhl-6	9606
EBI-11359516	human-l428	9606
EBI-11422271	Hepatitis C virus subtype 2a	31649
EBI-11463918	human-yt-s	9606
EBI-11464046	gahvm	10389
EBI-11475402	Bacteriophage P2	10679
EBI-11565536	human-hematopoietic-progenitor	9606
EBI-11565981	mouse-dc2.4	10090
EBI-11580354	mouse-mll_cells	10090
EBI-11688595	pseudorabies virus	10345
EBI-11688611	SuHV-1	31523
EBI-9254887	human-sum1315	9606
EBI-9302421	mouse-end-2	10090
EBI-9347572	human-lcl_modo	9606
EBI-9347578	human-t2	9606
EBI-9347653	human-akbm	9606
EBI-9349988	human-mda_mb_231_c3b4	9606
EBI-9350496	bvdvn	11100
EBI-9350621	bvdvc	268305
EBI-9351590	human-e-ldl loaded macrophages	9606
EBI-9510736	mycto	83331
EBI-9513911	influenza a virus (a/solomon islands/3/2006(h1n1))	464623
EBI-9513936	influenza a virus (a/wisconsin/67/2005(h3n2))	393902
EBI-9513963	influenza a virus (a/california/08/2009(h1n1))	642261
EBI-9514959	bovin-lb9.k	9913
EBI-9518470	phlebovirus js2010-014	1205899
EBI-9520600	mouse-ts20	10090
EBI-9521275	human-hepatocytes	9606
EBI-9522119	rotsh	450149
EBI-9523034	csfvb	11098
EBI-9538823	human-aec	9606
EBI-9539844	chlae-ma104	9534
EBI-9539883	rotb4	10928
EBI-9541046	pasmd	747
EBI-9542996	bovin-mdbk	9913
EBI-9981364	mouse-y1	10090
EBI-9544248	nosp7	63737
EBI-9548159	human-meb-med-8a	9606
EBI-9638160	mouse-mplb	10090
EBI-9645165	minibacterium massiliensis	375286
EBI-9645382	strain st1	748671
EBI-9645735	hhv6g	10369
EBI-9645746	ebvc	31525
EBI-9673649	rat-frej4	10116
EBI-9679892	human-pancreas_cancer	9606
EBI-9679907	human-pancreas	9606
EBI-9682326	human-meso-33	9606
EBI-9682984	mouse-breast_luminal_adenocarcinoma	10090
EBI-9687465	sfts virus hb29	992212
EBI-9700809	human-myocytes	9606
EBI-9822767	staas	282459
EBI-9826496	muhvs	10367
EBI-9836532	chatd	759272
EBI-9836606	chaetomium thermophilum	209285
EBI-9837768	human-ihke-1	9606
EBI-9838046	golovinomyces orontii	62715
EBI-9844350	ecoli-tkx1	83333
EBI-9870016	human-hs294t	9606
EBI-9870216	human-nci_h1666	9606
EBI-9874676	human-chondrocyte	9606
EBI-9915657	human-hsc	9606
EBI-9969934	human-mcf7_adr	9606
EBI-9974570	mouse_tongue	10090
EBI-9980114	human-mkn45	9606
EBI-9984957	human-hpaf_cd18	9606
EBI-9986174	mouse-lung_epithelium	10090
EBI-9992268	human-ovcar10	9606
EBI-10021035	human-hvs_cd8+	9606
EBI-10040907	droim	7250
EBI-10040908	dromi	7229
EBI-10042371	human-pmc	9606
EBI-10047639	human-t-cell_th2	9606
EBI-10048166	human-t-cell_cd8+	9606
EBI-10052967	hcvr6	421879
EBI-10056316	mouse-beta-tc3	10090
EBI-10061244	human-tsmc	9606
EBI-10091573	gratm	1198114
EBI-10091855	mouse-pbmc	10090
EBI-10092522	human-t-lymphoblast	9606
EBI-10129262	photobacterium damselae	38293
EBI-10686062	chick-optic_lobe	9031
EBI-10690648	human-sgc7901	9606
EBI-10823712	human-spermatogonium	9606
EBI-10888049	human-kyse-180	9606
EBI-10888829	human-kidney_cortex	9606
EBI-10896388	human-mpc	9606
EBI-11191227	diogr	3837
EBI-11292026	BoHV-1	31518
EBI-11292861	Bovine herpesvirus type 1.1	79889
EBI-11316344	human-decidua	9606
EBI-11316842	elime	238
EBI-11361253	human-ncm460	9606
EBI-11413507	mouse-t-cell_th2	10090
EBI-11430146	human-293s	9606
EBI-11464033	hapsc	29017
EBI-11464042	bhv1c	10323
EBI-11473863	human-gamma2a	9606
EBI-11475866	human-nk92	9606
EBI-11506965	human-gm847	9606
EBI-11508764	human-a2780	9606
EBI-11510961	bruml	29459
EBI-11666417	Phialidium gregarium	27801
EBI-11666704	actti	1867
EBI-11686185	Ruminococcus albus (strain ATCC 27210 / DSM 20455 / JCM 14654 / NCDO 2250 / 7)	697329
EBI-11691659	human-hbl-1	9606
EBI-11702949	mouse-lm	10090
EBI-11709041	human-7Su3rd	9606
EBI-11711787	Equine herpesvirus 1	10326
EBI-11739015	casde	75697
EBI-11793695	Human papillomavirus type 70	39457
EBI-11793706	Human papillomavirus type 39	10588
EBI-11793965	Human papillomavirus type 26	333762
EBI-11793985	Human papillomavirus type 51	10595
EBI-11794008	Influenza A virus (strain A/Duck/Germany/1949 H10N7)	382838
EBI-11794032	Influenza A virus (strain A/Turkey/Bethlehem-Glilit/1492-B/1982 H1N1)	31663
EBI-11794067	SPPV	10269
EBI-11794157	BtCoV	694007
EBI-11794171	BtCoV-1	694008
EBI-11794205	isolate YBF106	388819
EBI-11794230	SIV-cpz	388912
EBI-11794273	isolate Warthog/Namibia/Wart80/1980	561444
EBI-11794382	isolate Melanesia mel5 subtype C	402046
EBI-11794535	HTLV-3	406769
EBI-11794557	RABV	45418
EBI-11794576	EIHV-1	654902
EBI-11896518	human-mel_92.1	9606
EBI-12498345	Haemophilus influenzae (strain NTHi 3655)	375177
EBI-13953056	human-bm9	9606
EBI-13953305	human-hor	9606
EBI-13953699	Citrobacter freundii biotype 4280	637910
EBI-13955320	human-721.220	9606
EBI-14030296	Influenza A virus (strain A/Guinea fowl/Hong Kong/38/2002 H5N1 genotype X0)	284208
EBI-15013474	human-db	9606
EBI-15188848	Edwardsiella piscicida	1263550
EBI-15189295	human-kose	9606
EBI-15189309	human-hom-2	9606
EBI-15189388	Longtooth grouper	323802
EBI-15480835	human-plh	9606
EBI-15486271	human-umbilical mononuclear cell	9606
EBI-15532606	banna virus	77763
EBI-15553598	conpe	37335
EBI-15553682	rhomr	29549
EBI-15554391	ibdv	10995
EBI-15555477	musdo	7370
EBI-15556680	byvu	478555
EBI-15556798	bpbpp	194699
EBI-15561293	ibvb	11122
EBI-15562745	sindv	11034
EBI-15573551	gluoy	442
EBI-15578956	mouse/rat NG108-15	129386
EBI-15580987	clobk	498213
EBI-15582338	Enterobacteria phage L	45441
EBI-15582361	bpp22	10754
EBI-15582487	chlmo	3054
EBI-15583093	psept	1196325
EBI-15590338	streptococcus phage c1	230871
EBI-15593258	braju	3707
EBI-15597177	influenza a virus (a/mink/sweden/e12665/84(h10n4))	222742
EBI-15597220	i63a3	385580
EBI-15599807	uncultured bacterium cslc2	1091571
EBI-15611308	bphk7	37554
EBI-15615064	jans3	213804
EBI-15615093	psere	53412
EBI-15616239	bpp21	10711
EBI-15617766	eboz5	128951
EBI-15622877	orfn2	10259
EBI-15633768	populus tremula x populus tremuloides	47664
EBI-15658023	rhilo	266835
EBI-15658506	vibrio cholerae v52	345076
EBI-15665349	thevo	273116
EBI-15666464	inbhk	427826
EBI-15666618	vibpa	223926
EBI-15674607	bppp7	12023
EBI-15677430	bpspp	10724
EBI-15678003	tomato yellow leaf curl virus-mild [japan:atumi]	503404
EBI-15683087	entfc	1352
EBI-15699596	methylophaga aminisulfidivorans	230105
EBI-15711278	echinophyllia sp. sc22	301887
EBI-15729930	rhofa	1828
EBI-15729942	rhorh	1829
EBI-15760174	bdv1	1714621
EBI-15794474	hev	12461
EBI-15794981	hevct	509627
EBI-15795061	apime	7460
EBI-15803223	arthrospira platensis hn01	437476
EBI-15822437	Wiseana signata	107018
EBI-15822450	wiseana signata nucleopolyhedrovirus	65124
EBI-15828196	rhepa	137221
EBI-15829510	foamv	11963
EBI-15829625	bpga1	12345
EBI-15829656	bpk1f	344021
EBI-15832701	hcmvo	311339
EBI-15845170	bplp2	254252
EBI-15861522	rvfv-1	11588
EBI-15877358	proteus mirabilis atcc 29906	525369
EBI-15882345	komxy	28448
EBI-15884409	acidianus tengchongensis	146920
EBI-15885516	culqu	7176
EBI-15904861	pecat	29471
EBI-15908872	epichloe festucae	35717
EBI-15910815	actfr	396334
EBI-15912343	escherichia coli o157:h7 str. edl933	155864
EBI-15912544	leima	5664
EBI-15914417	bpph2	10756
EBI-15928528	simian immunodeficiency virus - sm	11712
EBI-15929214	fischerella sp. mv11	397321
EBI-15929930	hevpa	33774
EBI-15931707	legionella fallonii	96230
EBI-15936456	alcbs	393595
EBI-15936521	alkeh	187272
EBI-15936943	hasv8	43358
EBI-15946596	pyrnv	444157
EBI-15949136	acis1	1071056
EBI-15968611	moota	264732
EBI-15970047	Neisseria meningitidis serogroup B	491
EBI-15975396	cordp	1717
EBI-15975408	corbe	10703
EBI-15976381	vigrr	3916
EBI-15985466	capte	283909
EBI-16002041	psaca	179874
EBI-16007296	rhesus lymphocryptovirus	45455
EBI-16021994	bpmu	10677
EBI-16023406	acanthamoeba culbertsoni	43142
EBI-16031572	podan	515849
EBI-16036252	i57a0	387161
EBI-16039699	asfm2	10500
EBI-16040612	human betacoronavirus 2c emc/2012	1235996
EBI-16040817	geotn	420246
EBI-16041372	pholu	29488
EBI-16051331	influenza a virus (a/turkey/turkey/1/2005(h5n1))	375457
EBI-16058213	salmonella enterica subsp. enterica serovar choleraesuis str. scsa50	904139
EBI-16061128	kompc	981350
EBI-16062225	agrvs	311402
EBI-16062433	cupmc	266264
EBI-16063253	fusnn	190304
EBI-16066408	pseudomonas phage phi8	120086
EBI-16068753	ajeca	5037
EBI-16075038	parrh	882378
EBI-16076195	pelbh	314265
EBI-16077583	magmm	156889
EBI-16123342	neimu	488
EBI-16135703	hypjq	431241
EBI-16161935	Orf virus	10258
EBI-16188151	cricetid gammaherpesvirus 2	1605972
EBI-16196049	cvma5	11142
EBI-16214647	legpc	400673
EBI-16216900	sivg1	31684
EBI-16223098	Vibrio cholerae 12129(1)	592313
EBI-16362752	mouse-embryonic_heart	10090
EBI-13953332	human-pitout	9606
EBI-13954039	isolate Nicaragua/2928Nic/1997	489541
EBI-14022085	Recombinant vesicular stomatitis Indiana virus rVSV-G/GFP	582817
EBI-14022103	human-293-msr	9606
EBI-14032684	crigr-chok1sv	10029
EBI-14032854	isolate Z2/CDC-Z34	11683
EBI-14973789	rat-gh4c1	10116
EBI-15184507	human-khyg1	9606
EBI-15551389	halsi	2242
EBI-15551402	halsa	64091
EBI-15558186	magmg	188
EBI-15558902	crisp	36483
EBI-15577139	ectromelia virus	12643
EBI-15577509	cowpx	10243
EBI-15599746	strdi	1956
EBI-15610818	Salmonella typhimurium	602
EBI-15631587	plabe	5821
EBI-15679132	danpl	13037
EBI-15683031	9infa	11320
EBI-15689128	salan	58712
EBI-15689141	bpe15	215158
EBI-15696130	cangb	5478
EBI-15697165	nocardia otitidiscaviarum	1823
EBI-15711831	hbvd1	10419
EBI-15713901	nvn68	524364
EBI-15718496	orfsa	647330
EBI-15743328	pseudo-nitzschia multiseries	37319
EBI-15743869	lacac	272621
EBI-15757344	eco24	331111
EBI-15757891	metex	408
EBI-15784929	humlu	3486
EBI-15785191	aquao	63363
EBI-15916570	parte	5888
EBI-15935333	plaba	5823
EBI-15935490	enterobacteria phage p-eibd	120163
EBI-15936202	arcb4	367737
EBI-15941680	ndva	11177
EBI-15944166	pholl	243265
EBI-15948497	hydmr	28885
EBI-15955623	uncultured archaeon	115547
EBI-15955739	lymphocytic choriomeningitis mammarenavirus	11623
EBI-15958537	Yersinia sp. MH-1	373547
EBI-15958549	yersinia entomophaga	935293
EBI-15967379	strct	29303
EBI-15992385	mycmr	1781
EBI-15999965	eisfe	6396
EBI-16014382	influenza a virus (a/little yellow-shouldered bat/guatemala/153/2009(h17n10))	1129345
